Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
A2ZINFRA.NS,2025-11-07,2025-11-10,18.14,2025-11-12,17.22,RSI cross down,-5.07,560381.3223000001,3089,-2841.88,-5.07
AARTIDRUGS.NS,2025-11-10,2025-11-11,520.5,2025-11-12,480.2,RSI cross down,-7.74,557539.4423000001,107,-4312.1,-7.74
AAVAS.NS,2025-11-12,2025-11-13,1704.0,2025-11-21,1630.0,RSI cross down,-4.34,553227.3423000001,32,-2368.0,-4.34
AARVI.NS,2025-11-14,2025-11-17,139.0,2025-11-20,128.14,CE SELL,-7.81,550859.3423000001,396,-4300.56,-7.81
ABDL.NS,2025-11-14,2025-11-17,651.3,2025-12-02,622.0,RSI cross down,-4.5,546558.7823000001,83,-2431.9,-4.5
5PAISA.NS,2025-11-18,2025-11-19,344.0,2025-12-04,321.25,CE SELL,-6.61,544126.8823,158,-3594.5,-6.61
360ONE.NS,2025-11-19,2025-11-20,1128.9,2025-12-05,1125.1,RSI cross down,-0.34,540532.3823,47,-178.6,-0.34
A2ZINFRA.NS,2025-11-19,2025-11-20,17.7,2025-11-21,17.02,RSI cross down,-3.84,540353.7823000001,3052,-2075.36,-3.84
AAVAS.NS,2025-11-24,2025-11-25,1651.1,2025-11-26,1631.6,RSI cross down,-1.18,538278.4223000001,32,-624.0,-1.18
63MOONS.NS,2025-11-28,2025-12-01,895.0,2025-12-08,812.0,RSI cross down,-9.27,537654.4223000001,60,-4980.0,-9.27
21STCENMGM.NS,2025-12-05,2025-12-08,43.05,2026-01-13,45.75,CE SELL,6.27,532674.4223000001,1237,3339.9,6.27
ABB.NS,2025-12-09,2025-12-10,5109.5,2026-01-09,5050.0,RSI cross down,-1.16,536014.3223000001,10,-595.0,-1.16
AARTIIND.NS,2025-12-15,2025-12-16,374.0,2025-12-18,366.0,RSI cross down,-2.14,535419.3223000001,143,-1144.0,-2.14
AARTIPHARM.NS,2025-12-22,2025-12-23,779.35,2025-12-29,742.5,RSI cross down,-4.73,534275.3223000001,68,-2505.8,-4.73
AAATECH.NS,2025-12-29,2025-12-30,101.68,2026-01-06,93.5,RSI cross down,-8.04,531769.5223000001,522,-4269.96,-8.04
3MINDIA.NS,2025-12-30,2025-12-31,35015.0,2026-01-07,34900.0,RSI cross down,-0.33,527499.5623000001,1,-115.0,-0.33
ABCAPITAL.NS,2025-12-31,2026-01-01,357.7,2026-01-09,357.0,RSI cross down,-0.2,527384.5623000001,147,-102.9,-0.2
AARTIIND.NS,2025-12-31,2026-01-01,375.8,2026-01-12,361.65,RSI cross down,-3.77,527281.6623000001,140,-1981.0,-3.77
AARTIPHARM.NS,2025-12-31,2026-01-01,752.4,2026-01-02,744.2,RSI cross down,-1.09,525300.6623000001,69,-565.8,-1.09
3IINFOLTD.NS,2026-01-01,2026-01-02,16.94,2026-01-07,16.59,RSI cross down,-2.07,524734.8623,3097,-1083.95,-2.07
AARTECH.NS,2026-01-05,2026-01-06,58.0,2026-01-21,49.1,RSI cross down,-15.34,523650.9123,902,-8027.8,-15.34
AAATECH.NS,2026-01-08,2026-01-09,94.05,2026-01-12,97.0,RSI cross down,3.14,515623.11230000004,548,1616.6,3.14
AARTIPHARM.NS,2026-01-09,2026-01-12,752.0,2026-01-21,754.35,RSI cross down,0.31,517239.7123,68,159.8,0.31
360ONE.NS,2026-01-16,2026-01-19,1193.9,2026-01-21,1124.2,RSI cross down,-5.84,517399.5123,43,-2997.1,-5.84
ABCAPITAL.NS,2026-01-16,2026-01-19,362.0,2026-01-20,361.1,RSI cross down,-0.25,514402.4123,142,-127.8,-0.25
AARTISURF.NS,2026-01-20,2026-01-21,479.0,2026-01-27,405.85,CE SELL,-15.27,514274.61230000004,107,-7827.05,-15.27
ABAN.NS,2026-01-22,2026-01-23,23.65,2026-01-27,21.7,RSI cross down,-8.25,506447.56230000005,2141,-4174.95,-8.25
AAVAS.NS,2026-01-23,2026-01-27,1474.9,2026-01-30,1457.1,RSI cross down,-1.21,502272.61230000004,34,-605.2,-1.21
ABB.NS,2026-01-28,2026-01-29,5050.0,2026-04-01,6180.0,RSI cross down,22.38,501667.4123,9,10170.0,22.38
AARTIIND.NS,2026-01-30,2026-02-02,366.0,2026-03-05,412.0,RSI cross down,12.57,511837.4123,139,6394.0,12.57
AARTIPHARM.NS,2026-02-02,2026-02-03,800.0,2026-02-12,745.8,RSI cross down,-6.78,518231.4123,64,-3468.8,-6.78
ABFRL.NS,2026-02-04,2026-02-05,69.5,2026-02-09,69.49,CE SELL,-0.01,514762.61230000004,740,-7.4,-0.01
3MINDIA.NS,2026-02-04,2026-02-05,35765.0,2026-02-09,35355.0,RSI cross down,-1.15,514755.2123,1,-410.0,-1.15
ABINFRA.NS,2026-02-05,2026-02-06,20.77,2026-02-16,20.48,RSI cross down,-1.4,514345.2123,2476,-718.04,-1.4
63MOONS.NS,2026-02-09,2026-02-10,714.7,2026-02-18,647.05,RSI cross down,-9.47,513627.17230000003,71,-4803.15,-9.47
ABREL.NS,2026-02-09,2026-02-10,1429.9,2026-02-16,1386.1,RSI cross down,-3.06,508824.0223,35,-1533.0,-3.06
ABAN.NS,2026-02-10,2026-02-11,21.22,2026-02-16,21.6,RSI cross down,1.79,507291.0223,2390,908.2,1.79
20MICRONS.NS,2026-02-11,2026-02-12,188.07,2026-02-16,181.07,RSI cross down,-3.72,508199.2223,270,-1890.0,-3.72
ABDL.NS,2026-02-12,2026-02-13,530.0,2026-02-16,532.05,RSI cross down,0.39,506309.2223,95,194.75,0.39
3MINDIA.NS,2026-02-18,2026-02-19,36815.0,2026-02-23,36500.0,RSI cross down,-0.86,506503.9723,1,-315.0,-0.86
AAREYDRUGS.NS,2026-02-18,2026-02-19,71.0,2026-02-26,72.99,CE SELL,2.8,506188.9723,712,1416.88,2.8
A2ZINFRA.NS,2026-02-24,2026-02-25,17.51,2026-03-05,16.4,CE SELL,-6.34,507605.8523,2898,-3216.78,-6.34
3MINDIA.NS,2026-02-25,2026-02-26,36545.0,2026-03-04,35525.0,RSI cross down,-2.79,504389.0723,1,-1020.0,-2.79
ABBOTINDIA.NS,2026-03-04,2026-03-05,27905.0,2026-03-11,27000.0,RSI cross down,-3.24,503369.0723,1,-905.0,-3.24
AADHARHFC.NS,2026-03-09,2026-03-10,483.95,2026-03-16,457.95,RSI cross down,-5.37,502464.0723,103,-2678.0,-5.37
AARTECH.NS,2026-03-18,2026-03-19,46.79,2026-03-27,42.0,RSI cross down,-10.24,499786.0723,1068,-5115.72,-10.24
AARON.NS,2026-04-06,2026-04-07,147.5,2026-04-16,142.0,RSI cross down,-3.73,494670.3523,335,-1842.5,-3.73
AARTIPHARM.NS,2026-04-08,2026-04-09,697.05,2026-05-13,702.95,CE SELL,0.85,492827.8523,70,413.0,0.85
20MICRONS.NS,2026-04-08,2026-04-09,163.5,2026-05-15,174.0,End of data,6.42,493240.8523,301,3160.5,6.42
5PAISA.NS,2026-04-08,2026-04-09,302.75,2026-05-13,309.0,RSI cross down,2.06,496401.3523,163,1018.75,2.06
AAVAS.NS,2026-04-08,2026-04-09,1219.0,2026-05-15,1384.7,End of data,13.59,497420.1023,40,6628.0,13.59
ABDL.NS,2026-04-08,2026-04-09,451.6,2026-05-15,555.35,End of data,22.97,504048.1023,111,11516.25,22.97
