Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
AARVI.NS,2026-02-13,2026-02-16,128.0,2026-02-17,132.51,RSI cross up,-3.52,529621.6291999997,413,-1862.63,-3.52
AAATECH.NS,2026-02-17,2026-02-18,104.49,2026-02-20,102.0,RSI cross up,2.38,527758.9991999997,505,1257.45,2.38
3IINFOLTD.NS,2026-02-18,2026-02-19,14.55,2026-03-23,14.15,RSI cross up,2.75,529016.4491999997,3635,1454.0,2.75
ABAN.NS,2026-02-19,2026-02-20,20.99,2026-03-05,20.88,RSI cross up,0.52,530470.4491999997,2527,277.97,0.52
3PLAND.NS,2026-02-19,2026-02-20,34.0,2026-04-02,31.5,RSI cross up,7.35,530748.4191999997,1561,3902.5,7.35
AARVI.NS,2026-02-19,2026-02-20,130.72,2026-03-02,125.0,RSI cross up,4.38,534650.9191999997,409,2339.48,4.38
AARON.NS,2026-02-23,2026-02-24,164.08,2026-04-06,143.0,CE BUY,12.85,536990.3991999996,327,6893.16,12.85
A2ZINFRA.NS,2026-02-23,2026-02-24,14.35,2026-02-25,17.51,RSI cross up,-22.02,543883.5591999997,3790,-11976.4,-22.02
AAATECH.NS,2026-02-24,2026-02-25,102.3,2026-02-27,105.97,RSI cross up,-3.59,531907.1591999996,519,-1904.73,-3.59
ABMINTLLTD.NS,2026-02-27,2026-03-02,40.18,2026-03-09,41.34,RSI cross up,-2.89,530002.4291999997,1319,-1530.04,-2.89
AARTISURF.NS,2026-03-02,2026-03-04,380.0,2026-04-06,360.3,RSI cross up,5.18,528472.3891999996,139,2738.3,5.18
AAREYDRUGS.NS,2026-03-02,2026-03-04,68.0,2026-03-06,72.41,RSI cross up,-6.49,531210.6891999997,781,-3444.21,-6.49
ABFRL.NS,2026-03-04,2026-03-05,64.09,2026-04-02,56.35,RSI cross up,12.08,527766.4791999997,823,6370.02,12.08
AARTIIND.NS,2026-03-09,2026-03-10,413.65,2026-03-11,426.05,RSI cross up,-3.0,534136.4991999997,129,-1599.6,-3.0
AARVI.NS,2026-03-09,2026-03-10,127.81,2026-03-11,136.4,RSI cross up,-6.72,532536.8991999998,416,-3573.44,-6.72
ABBOTINDIA.NS,2026-03-12,2026-03-13,26430.0,2026-03-16,27045.0,RSI cross up,-2.33,528963.4591999998,2,-1230.0,-2.33
AARVI.NS,2026-03-12,2026-03-13,127.08,2026-03-19,129.11,RSI cross up,-1.6,527733.4591999998,415,-842.45,-1.6
A2ZINFRA.NS,2026-03-16,2026-03-17,15.16,2026-03-18,15.22,RSI cross up,-0.4,526891.0091999999,3475,-208.5,-0.4
AAREYDRUGS.NS,2026-03-19,2026-03-20,68.4,2026-04-10,67.78,RSI cross up,0.91,526682.5091999999,770,477.4,0.91
AARTIIND.NS,2026-03-19,2026-03-20,415.2,2026-03-23,420.95,RSI cross up,-1.38,527159.9091999999,126,-724.5,-1.38
ABBOTINDIA.NS,2026-03-23,2026-03-24,25690.0,2026-03-25,26860.0,RSI cross up,-4.55,526435.4091999999,2,-2340.0,-4.55
AARVI.NS,2026-03-23,2026-03-24,127.0,2026-04-09,128.15,RSI cross up,-0.91,524095.4091999999,412,-473.8,-0.91
AARTIIND.NS,2026-03-27,2026-03-30,413.5,2026-04-09,421.6,RSI cross up,-1.96,523621.6091999999,126,-1020.6,-1.96
AADHARHFC.NS,2026-03-27,2026-03-30,442.6,2026-04-09,469.6,RSI cross up,-6.1,522601.0091999999,118,-3186.0,-6.1
ABMINTLLTD.NS,2026-03-30,2026-04-01,42.0,2026-04-06,43.68,RSI cross up,-4.0,519415.0091999999,1236,-2076.48,-4.0
ABB.NS,2026-03-30,2026-04-01,6180.0,2026-04-02,6021.5,RSI cross up,2.56,517338.52919999993,8,1268.0,2.56
ABBOTINDIA.NS,2026-04-02,2026-04-06,26285.0,2026-05-07,26550.0,RSI cross up,-1.01,518606.52919999993,1,-265.0,-1.01
AARVI.NS,2026-04-13,2026-04-15,127.89,2026-04-20,135.05,RSI cross up,-5.6,518341.52919999993,405,-2899.8,-5.6
ABMINTLLTD.NS,2026-04-24,2026-04-27,45.36,2026-05-15,45.83,CE BUY,-1.04,515441.72919999994,1136,-533.92,-1.04
AAATECH.NS,2026-05-11,2026-05-12,99.5,2026-05-13,99.07,RSI cross up,0.43,514907.80919999996,517,222.31,0.43
AARTECH.NS,2026-05-11,2026-05-12,42.31,2026-05-15,40.09,End of data,5.25,515130.11919999996,1217,2701.74,5.25
ABB.NS,2026-05-11,2026-05-12,6360.0,2026-05-15,6381.0,End of data,-0.33,517831.85919999995,8,-168.0,-0.33
ABCAPITAL.NS,2026-05-12,2026-05-13,340.0,2026-05-15,357.15,End of data,-5.04,517663.85919999995,152,-2606.8,-5.04
5PAISA.NS,2026-05-12,2026-05-13,309.0,2026-05-15,303.75,End of data,1.7,515057.05919999996,166,871.5,1.7
ABREL.NS,2026-05-13,2026-05-14,1313.6,2026-05-15,1310.0,RSI cross up,0.27,515928.55919999996,39,140.4,0.27
